"P6040";"P6020";"P6175";"P1158S1";"DIA_REFERENCIA_2";"P1161S1A1";"P1161S1A2"
"96";6;"Femenino";"Público";"Primaria";"Jueves";0;30
"97";15;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"98";13;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"99";6;"Femenino";"Público";"Preescolar";"Viernes";0;30
"100";9;"Femenino";"Público";"Primaria";"Viernes";0;30
"101";10;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"102";11;"Femenino";"Público";"Primaria";"Sábado";1;0
"103";11;"Masculino";"Público";"Primaria";"Miércoles";1;30
"104";16;"Femenino";"Privado";"Secundaria o Media";"Viernes";1;0
"105";10;"Masculino";"Público";"Primaria";"Sábado";1;0
"106";11;"Masculino";"Privado";"Primaria";"Jueves";0;30
"107";10;"Masculino";"Privado";"Primaria";"Jueves";1;0
"108";8;"Masculino";"Público";"Primaria";"Jueves";0;15
"109";10;"Femenino";"Público";"Secundaria o Media";"Jueves";0;30
"110";10;"Femenino";"Público";"Primaria";"Viernes";2;0
"111";18;"Femenino";"Público";"Secundaria o Media";"Festivo";5;0
"112";17;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"113";9;"Masculino";"Público";"Primaria";"Jueves";3;59
"114";13;"Masculino";"Público";"Secundaria o Media";"Viernes";4;0
"115";17;"Masculino";"Público";"Secundaria o Media";"Viernes";4;0
"116";16;"Femenino";"Privado";"Secundaria o Media";"Sábado";1;0
"117";11;"Femenino";"Público";"Secundaria o Media";"Viernes";4;0
"118";20;"Femenino";"Público";"Tecnológico";"Jueves";2;0
"119";14;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"120";11;"Femenino";"Público";"Primaria";"Jueves";2;0
"121";9;"Femenino";"Público";"Primaria";"Jueves";1;30
"122";14;"Femenino";"Público";"Secundaria o Media";"Viernes";3;0
"123";10;"Masculino";"Público";"Primaria";"Viernes";2;30
"124";13;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"125";6;"Masculino";"Público";"Primaria";"Viernes";1;0
"126";11;"Femenino";"Público";"Primaria";"Viernes";3;0
"127";8;"Masculino";"Público";"Primaria";"Viernes";2;0
"128";15;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;30
"129";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"130";10;"Masculino";"Público";"Primaria";"Miércoles";2;0
"131";6;"Femenino";"Público";"Preescolar";"Miércoles";2;0
"132";22;"Masculino";"Público";"Técnico";"Viernes";2;0
"133";25;"Femenino";"Privado";"Universitario";"Jueves";5;0
"134";22;"Masculino";"Privado";"Universitario";"Jueves";1;0
"135";17;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"136";15;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"137";9;"Masculino";"Público";"Primaria";"Jueves";2;0
"138";19;"Femenino";"Privado";"Tecnológico";"Viernes";3;0
"139";12;"Femenino";"Privado";"Secundaria o Media";"Viernes";3;0
"140";12;"Masculino";"Público";"Secundaria o Media";"Viernes";4;0
"141";10;"Masculino";"Público";"Primaria";"Viernes";2;0
"142";10;"Masculino";"Público";"Primaria";"Viernes";2;0
"143";17;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"144";10;"Masculino";"Público";"Primaria";"Viernes";2;0
"145";9;"Femenino";"Público";"Primaria";"Viernes";2;0
"146";11;"Masculino";"Privado";"Secundaria o Media";"Viernes";1;0
"147";12;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"148";18;"Masculino";"Público";"Universitario";"Viernes";6;0
"149";18;"Femenino";"Privado";"Universitario";"Jueves";2;0
"150";10;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"151";8;"Masculino";"Público";"Primaria";"Jueves";1;0
"152";11;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"153";10;"Masculino";"Público";"Primaria";"Viernes";1;0
"154";6;"Masculino";"Público";"Primaria";"Viernes";0;45
"155";7;"Masculino";"Público";"Primaria";"Sábado";2;0
"156";18;"Masculino";"Público";"Técnico";"Jueves";1;0
"157";11;"Femenino";"Público";"Secundaria o Media";"Domingo";0;30
"158";11;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"159";6;"Femenino";"Público";"Preescolar";"Domingo";2;0
"160";30;"Femenino";"Público";"Universitario";"Domingo";3;0
"161";11;"Masculino";"Privado";"Secundaria o Media";"Lunes";1;30
"162";9;"Masculino";"Público";"Primaria";"Domingo";2;0
"163";36;"Masculino";"Privado";"Universitario";"Viernes";1;0
"164";5;"Masculino";"Público";"Preescolar";"Miércoles";1;0
"165";7;"Femenino";"Público";"Primaria";"Miércoles";1;0
"166";14;"Femenino";"Público";"Secundaria o Media";"Miércoles";0;30
"167";5;"Femenino";"Público";"Preescolar";"Miércoles";0;30
"168";12;"Femenino";"Privado";"Secundaria o Media";"Jueves";0;5
"169";23;"Masculino";"Privado";"Tecnológico";"Viernes";1;15
"170";30;"Femenino";"Privado";"Universitario";"Viernes";2;2
"171";9;"Masculino";"Privado";"Primaria";"Viernes";1;30
"172";9;"Masculino";"Público";"Primaria";"Viernes";2;0
"173";21;"Masculino";"Privado";"Universitario";"Viernes";3;0
"174";37;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"175";20;"Femenino";"Privado";"Universitario";"Viernes";1;0
"176";10;"Masculino";"Público";"Primaria";"Viernes";5;0
"177";14;"Femenino";"Privado";"Secundaria o Media";"Viernes";3;0
"178";9;"Femenino";"Público";"Primaria";"Viernes";2;0
"179";5;"Femenino";"Público";"Preescolar";"Viernes";2;0
"180";8;"Femenino";"Público";"Primaria";"Jueves";2;0
"181";5;"Masculino";"Privado";"Primaria";"Jueves";3;0
"182";7;"Femenino";"Público";"Primaria";"Jueves";0;5
"183";16;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"184";8;"Masculino";"Privado";"Primaria";"Festivo";2;30
"185";9;"Femenino";"Público";"Primaria";"Jueves";0;30
"186";10;"Femenino";"Privado";"Primaria";"Viernes";1;30
"187";5;"Femenino";"Privado";"Primaria";"Viernes";1;30
"188";15;"Femenino";"Privado";"Secundaria o Media";"Festivo";3;0
"189";6;"Masculino";"Privado";"Primaria";"Festivo";1;0
"190";14;"Masculino";"Privado";"Secundaria o Media";"Jueves";5;0
"191";7;"Femenino";"Privado";"Primaria";"Festivo";2;0
"192";20;"Femenino";"Privado";"Universitario";"Viernes";2;0
"193";14;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;45
"194";15;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"195";28;"Masculino";"Privado";"Universitario";"Lunes";2;0
"196";25;"Femenino";"Privado";"Universitario";"Lunes";2;0
"197";15;"Femenino";"Público";"Secundaria o Media";"Miércoles";0;30
"198";12;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;30
"199";13;"Masculino";"Público";"Secundaria o Media";"Viernes";1;30
"200";6;"Femenino";"Público";"Primaria";"Viernes";2;0
"201";12;"Masculino";"Público";"Secundaria o Media";"Festivo";3;0
"202";9;"Masculino";"Público";"Primaria";"Miércoles";1;0
"203";12;"Masculino";"Público";"Secundaria o Media";"Sábado";6;0
"204";34;"Masculino";"Privado";"Tecnológico";"Sábado";3;0
"205";11;"Femenino";"Público";"Secundaria o Media";"Festivo";4;4
"206";9;"Femenino";"Público";"Primaria";"Jueves";3;0
"207";9;"Masculino";"Público";"Primaria";"Viernes";0;30
"208";8;"Masculino";"Público";"Primaria";"Viernes";0;30
"209";6;"Femenino";"Público";"Primaria";"Sábado";2;0
"210";23;"Masculino";"Público";"Universitario";"Domingo";2;0
"211";12;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"212";11;"Femenino";"Público";"Primaria";"Jueves";1;0
"213";5;"Masculino";"Público";"Preescolar";"Jueves";1;0
"214";13;"Masculino";"Público";"Primaria";"Miércoles";1;0
"215";11;"Masculino";"Público";"Primaria";"Miércoles";1;0
"216";9;"Masculino";"Público";"Primaria";"Lunes";0;30
"217";8;"Femenino";"Público";"Primaria";"Jueves";1;0
"218";5;"Masculino";"Público";"Preescolar";"Jueves";1;30
"219";21;"Masculino";"Público";"Secundaria o Media";"Viernes";2;0
"220";18;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"221";13;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"222";6;"Femenino";"Público";"Primaria";"Viernes";1;0
"223";12;"Femenino";"Público";"Secundaria o Media";"Jueves";5;0
"224";15;"Masculino";"Privado";"Secundaria o Media";"Miércoles";1;30
"225";31;"Femenino";"Privado";"Universitario";"Jueves";2;0
"226";13;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"227";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;30
"228";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
