"P6040";"P6020";"P6175";"P1158S1";"DIA_REFERENCIA_2";"P1161S1A1";"P1161S1A2"
"2013";13;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2014";16;"Masculino";"Público";"Secundaria o Media";"Martes";1;30
"2015";12;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"2016";9;"Masculino";"Público";"Primaria";"Miércoles";3;0
"2017";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"2018";14;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2019";12;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2020";5;"Masculino";"Privado";"Preescolar";"Miércoles";2;0
"2021";16;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2022";16;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"2023";15;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"2024";13;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"2025";6;"Femenino";"Público";"Preescolar";"Jueves";1;0
"2026";10;"Femenino";"Público";"Primaria";"Lunes";1;0
"2027";11;"Masculino";"Público";"Secundaria o Media";"Martes";3;0
"2028";9;"Masculino";"Público";"Primaria";"Martes";1;0
"2029";7;"Masculino";"Público";"Primaria";"Martes";1;0
"2030";11;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"2031";23;"Masculino";"Público";"Universitario";"Martes";1;0
"2032";15;"Femenino";"Público";"Tecnológico";"Martes";7;0
"2033";11;"Masculino";"Privado";"Secundaria o Media";"Martes";4;0
"2034";8;"Masculino";"Público";"Primaria";"Miércoles";3;0
"2035";9;"Femenino";"Privado";"Primaria";"Miércoles";1;0
"2036";8;"Masculino";"Privado";"Primaria";"Miércoles";0;30
"2037";6;"Femenino";"Privado";"Primaria";"Miércoles";2;0
"2038";15;"Masculino";"Público";"Secundaria o Media";"Jueves";3;0
"2039";11;"Masculino";"Público";"Primaria";"Jueves";1;0
"2040";7;"Femenino";"Público";"Primaria";"Jueves";1;0
"2041";8;"Masculino";"Privado";"Primaria";"Jueves";2;0
"2042";24;"Masculino";"Privado";"Universitario";"Jueves";3;0
"2043";16;"Masculino";"Público";"Secundaria o Media";"Jueves";3;0
"2044";13;"Femenino";"Público";"Secundaria o Media";"Jueves";4;0
"2045";17;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"2046";15;"Femenino";"Público";"Secundaria o Media";"Sábado";3;0
"2047";6;"Femenino";"Público";"Primaria";"Lunes";3;0
"2048";17;"Masculino";"Público";"Secundaria o Media";"Martes";3;0
"2049";11;"Femenino";"Público";"Primaria";"Martes";3;0
"2050";11;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"2051";8;"Femenino";"Público";"Primaria";"Martes";3;0
"2052";12;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"2053";12;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2054";14;"Masculino";"Público";"Secundaria o Media";"Miércoles";4;0
"2055";12;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"2056";10;"Femenino";"Público";"Primaria";"Miércoles";2;0
"2057";14;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"2058";18;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"2059";15;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"2060";12;"Masculino";"Público";"Secundaria o Media";"Jueves";3;0
"2061";12;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"2062";7;"Masculino";"Público";"Primaria";"Jueves";1;0
"2063";16;"Femenino";"Público";"Secundaria o Media";"Jueves";3;0
"2064";15;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"2065";13;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2066";14;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2067";5;"Femenino";"Público";"Primaria";"Lunes";4;0
"2068";7;"Masculino";"Público";"Primaria";"Lunes";3;0
"2069";20;"Masculino";"Público";"Secundaria o Media";"Martes";3;0
"2070";18;"Masculino";"Público";"Secundaria o Media";"Martes";2;0
"2071";13;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"2072";10;"Masculino";"Público";"Primaria";"Martes";1;0
"2073";8;"Masculino";"Público";"Primaria";"Martes";2;0
"2074";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"2075";12;"Masculino";"Público";"Secundaria o Media";"Jueves";4;0
"2076";6;"Femenino";"Privado";"Preescolar";"Jueves";2;0
"2077";21;"Masculino";"Privado";"Técnico";"Jueves";2;0
"2078";13;"Masculino";"Público";"Secundaria o Media";"Festivo";2;0
"2079";8;"Masculino";"Público";"Primaria";"Festivo";2;0
"2080";20;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"2081";11;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"2082";7;"Masculino";"Privado";"Primaria";"Sábado";1;0
"2083";35;"Femenino";"Público";"Universitario";"Martes";2;0
"2084";8;"Femenino";"Privado";"Primaria";"Martes";0;30
"2085";18;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2086";12;"Masculino";"Público";"Primaria";"Lunes";2;0
"2087";8;"Femenino";"Público";"Primaria";"Miércoles";0;20
"2088";6;"Masculino";"Público";"Primaria";"Miércoles";1;0
"2089";29;"Femenino";"Privado";"Técnico";"Festivo";1;0
"2090";14;"Femenino";"Público";"Secundaria o Media";"Festivo";1;0
"2091";6;"Masculino";"Público";"Preescolar";"Domingo";0;30
"2092";8;"Masculino";"Público";"Primaria";"Viernes";1;0
"2093";5;"Femenino";"Público";"Primaria";"Viernes";5;0
"2094";14;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2095";9;"Femenino";"Público";"Primaria";"Lunes";1;0
"2096";8;"Femenino";"Público";"Primaria";"Lunes";1;0
"2097";6;"Masculino";"Público";"Primaria";"Martes";1;30
"2098";7;"Masculino";"Público";"Primaria";"Sábado";1;0
"2099";18;"Femenino";"Público";"Secundaria o Media";"Sábado";6;0
"2100";16;"Femenino";"Público";"Secundaria o Media";"Sábado";1;0
"2101";10;"Femenino";"Público";"Primaria";"Domingo";1;0
"2102";10;"Femenino";"Público";"Primaria";"Domingo";2;0
"2103";6;"Masculino";"Público";"Primaria";"Sábado";0;30
"2104";10;"Femenino";"Público";"Primaria";"Domingo";2;0
"2105";7;"Masculino";"Público";"Primaria";"Domingo";2;0
"2106";9;"Masculino";"Privado";"Primaria";"Lunes";1;0
"2107";12;"Masculino";"Público";"Secundaria o Media";"Domingo";2;0
"2108";17;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2109";9;"Femenino";"Público";"Primaria";"Lunes";2;30
"2110";29;"Femenino";"Privado";"Universitario";"Lunes";2;0
"2111";14;"Masculino";"Público";"Secundaria o Media";"Domingo";3;0
"2112";11;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"2113";10;"Femenino";"Público";"Primaria";"Viernes";2;0
"2114";15;"Masculino";"Privado";"Secundaria o Media";"Martes";2;0
"2115";8;"Masculino";"Privado";"Primaria";"Martes";2;0
"2116";15;"Masculino";"Público";"Secundaria o Media";"Martes";0;20
"2117";12;"Masculino";"Público";"Primaria";"Martes";1;0
"2118";23;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"2119";15;"Femenino";"Público";"Secundaria o Media";"Domingo";1;0
"2120";17;"Masculino";"Privado";"Universitario";"Lunes";2;0
"2121";35;"Femenino";"Privado";"Especialización";"Lunes";2;0
"2122";5;"Femenino";"Privado";"Preescolar";"Lunes";1;0
"2123";17;"Femenino";"Privado";"Universitario";"Lunes";2;0
"2124";6;"Femenino";"Público";"Primaria";"Lunes";0;30
"2125";9;"Masculino";"Público";"Primaria";"Lunes";1;0
"2126";8;"Masculino";"Público";"Primaria";"Lunes";0;30
"2127";21;"Femenino";"Público";"Universitario";"Martes";3;0
"2128";9;"Masculino";"Privado";"Primaria";"Martes";0;40
"2129";34;"Femenino";"Público";"Técnico";"Lunes";0;20
"2130";15;"Masculino";"Público";"Secundaria o Media";"Lunes";0;25
"2131";13;"Masculino";"Público";"Secundaria o Media";"Lunes";0;10
"2132";9;"Masculino";"Público";"Primaria";"Lunes";0;10
"2133";12;"Masculino";"Privado";"Secundaria o Media";"Lunes";4;0
"2134";11;"Masculino";"Privado";"Primaria";"Lunes";4;0
"2135";22;"Femenino";"Público";"Universitario";"Domingo";6;0
"2136";9;"Masculino";"Privado";"Primaria";"Martes";1;0
"2137";29;"Masculino";"Público";"Universitario";"Lunes";3;0
"2138";17;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"2139";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
"2140";12;"Masculino";"Público";"Primaria";"Martes";2;30
"2141";5;"Femenino";"Público";"Preescolar";"Martes";2;0
"2142";9;"Masculino";"Público";"Primaria";"Martes";1;0
"2143";21;"Femenino";"Privado";"Técnico";"Martes";1;0
"2144";18;"Femenino";"Público";"Universitario";"Miércoles";4;0
"2145";16;"Masculino";"Privado";"Secundaria o Media";"Miércoles";2;0
"2146";18;"Masculino";"Privado";"Universitario";"Jueves";3;0
"2147";22;"Femenino";"Privado";"Universitario";"Jueves";2;0
"2148";14;"Femenino";"Público";"Secundaria o Media";"Martes";4;0
"2149";19;"Masculino";"Privado";"Universitario";"Miércoles";4;0
"2150";19;"Masculino";"Público";"Universitario";"Miércoles";3;0
"2151";10;"Femenino";"Público";"Primaria";"Miércoles";0;15
"2152";5;"Masculino";"Privado";"Preescolar";"Jueves";2;0
"2153";13;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"2154";8;"Femenino";"Público";"Primaria";"Martes";3;0
"2155";9;"Masculino";"Privado";"Primaria";"Miércoles";2;0
"2156";11;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2157";15;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"2158";13;"Femenino";"Público";"Primaria";"Lunes";1;0
"2159";11;"Masculino";"Público";"Primaria";"Lunes";1;0
"2160";9;"Femenino";"Público";"Primaria";"Lunes";1;0
"2161";12;"Masculino";"Público";"Secundaria o Media";"Martes";2;0
"2162";6;"Femenino";"Público";"Primaria";"Martes";1;0
"2163";5;"Femenino";"Público";"Primaria";"Miércoles";3;0
"2164";33;"Femenino";"Privado";"Técnico";"Lunes";4;0
"2165";11;"Masculino";"Privado";"Secundaria o Media";"Lunes";2;0
"2166";11;"Masculino";"Privado";"Secundaria o Media";"Lunes";1;0
"2167";13;"Femenino";"Privado";"Secundaria o Media";"Miércoles";0;30
"2168";15;"Femenino";"Público";"Secundaria o Media";"Sábado";1;30
"2169";24;"Femenino";"Público";"Universitario";"Sábado";4;0
"2170";19;"Femenino";"Público";"Universitario";"Miércoles";8;0
"2171";27;"Femenino";"Público";"Tecnológico";"Viernes";2;0
"2172";8;"Masculino";"Público";"Primaria";"Viernes";3;0
"2173";44;"Masculino";"Público";"Maestría";"Jueves";2;0
"2174";14;"Femenino";"Privado";"Secundaria o Media";"Lunes";2;0
"2175";6;"Masculino";"Privado";"Primaria";"Lunes";2;0
"2176";15;"Masculino";"Privado";"Secundaria o Media";"Lunes";1;0
"2177";11;"Masculino";"Privado";"Secundaria o Media";"Miércoles";2;0
"2178";9;"Masculino";"Privado";"Primaria";"Sábado";5;0
"2179";16;"Masculino";"Privado";"Secundaria o Media";"Jueves";3;0
"2180";18;"Femenino";"Privado";"Universitario";"Lunes";2;0
"2181";16;"Femenino";"Privado";"Secundaria o Media";"Martes";2;0
"2182";9;"Femenino";"Privado";"Primaria";"Lunes";1;0
"2183";12;"Masculino";"Público";"Secundaria o Media";"Domingo";3;0
"2184";10;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"2185";30;"Femenino";"Público";"Universitario";"Martes";2;0
"2186";13;"Femenino";"Público";"Secundaria o Media";"Sábado";3;0
"2187";20;"Femenino";"Público";"Universitario";"Sábado";4;0
"2188";12;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"2189";12;"Femenino";"Público";"Primaria";"Jueves";1;0
"2190";9;"Masculino";"Público";"Primaria";"Jueves";1;0
"2191";12;"Femenino";"Público";"Secundaria o Media";"Viernes";1;0
"2192";7;"Masculino";"Público";"Primaria";"Viernes";1;0
"2193";5;"Femenino";"Público";"Preescolar";"Viernes";1;0
"2194";12;"Femenino";"Público";"Secundaria o Media";"Jueves";2;0
"2195";8;"Masculino";"Público";"Primaria";"Viernes";1;0
"2196";7;"Femenino";"Público";"Primaria";"Viernes";1;0
"2197";14;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"2198";23;"Masculino";"Privado";"Universitario";"Viernes";3;0
"2199";25;"Femenino";"Privado";"Universitario";"Domingo";1;30
"2200";9;"Femenino";"Público";"Primaria";"Martes";1;0
"2201";35;"Femenino";"Público";"Especialización";"Jueves";2;0
"2202";16;"Femenino";"Público";"Secundaria o Media";"Domingo";3;0
"2203";11;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"2204";7;"Femenino";"Privado";"Primaria";"Martes";2;30
"2205";17;"Femenino";"Público";"Técnico";"Martes";2;0
"2206";12;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"2207";9;"Masculino";"Público";"Primaria";"Jueves";0;30
"2208";21;"Femenino";"Público";"Técnico";"Jueves";1;52
"2209";15;"Femenino";"Privado";"Secundaria o Media";"Jueves";1;0
"2210";7;"Masculino";"Público";"Primaria";"Lunes";2;30
"2211";15;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2212";14;"Masculino";"Público";"Secundaria o Media";"Lunes";2;30
"2213";13;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2214";10;"Femenino";"Público";"Primaria";"Lunes";0;5
"2215";18;"Masculino";"Privado";"Universitario";"Jueves";5;30
"2216";12;"Masculino";"Público";"Secundaria o Media";"Jueves";1;0
"2217";16;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"2218";14;"Masculino";"Público";"Secundaria o Media";"Miércoles";0;30
"2219";9;"Femenino";"Público";"Primaria";"Miércoles";0;30
"2220";16;"Masculino";"Privado";"Secundaria o Media";"Jueves";2;0
"2221";34;"Femenino";"Público";"Universitario";"Sábado";8;0
"2222";13;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"2223";9;"Femenino";"Público";"Primaria";"Viernes";1;30
"2224";45;"Femenino";"Público";"Técnico";"Miércoles";1;0
"2225";10;"Masculino";"Privado";"Primaria";"Jueves";2;30
"2226";14;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"2227";16;"Masculino";"Público";"Secundaria o Media";"Sábado";1;0
"2228";11;"Femenino";"Público";"Primaria";"Sábado";2;0
"2229";8;"Masculino";"Público";"Primaria";"Miércoles";0;30
"2230";16;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"2231";33;"Femenino";"Privado";"Universitario";"Viernes";4;0
"2232";13;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"2233";6;"Masculino";"Público";"Primaria";"Miércoles";1;0
"2234";8;"Femenino";"Público";"Primaria";"Viernes";1;0
"2235";10;"Masculino";"Público";"Primaria";"Martes";1;0
"2236";7;"Masculino";"Público";"Primaria";"Martes";0;30
"2237";12;"Masculino";"Privado";"Secundaria o Media";"Miércoles";1;0
"2238";9;"Masculino";"Público";"Primaria";"Jueves";1;0
"2239";17;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"2240";15;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2241";22;"Masculino";"Privado";"Universitario";"Martes";3;0
"2242";22;"Masculino";"Público";"Universitario";"Martes";0;15
"2243";8;"Femenino";"Público";"Primaria";"Lunes";1;0
"2244";21;"Masculino";"Privado";"Técnico";"Miércoles";2;0
"2245";14;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"2246";10;"Masculino";"Público";"Primaria";"Lunes";0;30
"2247";11;"Masculino";"Público";"Primaria";"Martes";0;30
"2248";8;"Masculino";"Privado";"Primaria";"Miércoles";2;0
"2249";6;"Femenino";"Público";"Preescolar";"Miércoles";2;0
"2250";9;"Femenino";"Privado";"Primaria";"Miércoles";3;0
"2251";20;"Masculino";"Privado";"Universitario";"Martes";1;0
"2252";23;"Femenino";"Privado";"Secundaria o Media";"Jueves";2;0
"2253";25;"Masculino";"Privado";"Universitario";"Domingo";5;0
"2254";25;"Femenino";"Público";"Técnico";"Lunes";2;0
"2255";9;"Masculino";"Público";"Primaria";"Sábado";1;0
"2256";7;"Femenino";"Público";"Primaria";"Sábado";2;0
"2257";19;"Masculino";"Privado";"Universitario";"Miércoles";6;0
"2258";9;"Masculino";"Privado";"Primaria";"Miércoles";1;0
"2259";32;"Masculino";"Privado";"Universitario";"Jueves";2;0
"2260";7;"Masculino";"Público";"Primaria";"Viernes";3;0
"2261";8;"Femenino";"Público";"Primaria";"Domingo";2;0
"2262";24;"Femenino";"Público";"Universitario";"Miércoles";1;30
"2263";14;"Femenino";"Público";"Secundaria o Media";"Viernes";1;0
"2264";16;"Femenino";"Público";"Secundaria o Media";"Martes";5;0
"2265";12;"Femenino";"Privado";"Secundaria o Media";"Viernes";1;30
"2266";25;"Masculino";"Público";"Universitario";"Martes";2;0
"2267";20;"Masculino";"Público";"Universitario";"Martes";3;0
"2268";17;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"2269";7;"Masculino";"Privado";"Primaria";"Sábado";1;45
"2270";21;"Femenino";"Público";"Universitario";"Domingo";3;0
"2271";13;"Femenino";"Privado";"Secundaria o Media";"Sábado";2;0
"2272";16;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"2273";14;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"2274";12;"Masculino";"Público";"Secundaria o Media";"Lunes";4;0
"2275";7;"Femenino";"Público";"Primaria";"Jueves";0;30
"2276";19;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"2277";12;"Femenino";"Privado";"Secundaria o Media";"Sábado";3;0
"2278";12;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"2279";18;"Masculino";"Privado";"Secundaria o Media";"Miércoles";2;0
"2280";12;"Femenino";"Privado";"Secundaria o Media";"Miércoles";2;0
"2281";24;"Masculino";"Privado";"Universitario";"Sábado";5;0
"2282";22;"Femenino";"Privado";"Universitario";"Lunes";1;0
"2283";21;"Masculino";"Privado";"Secundaria o Media";"Lunes";2;0
"2284";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"2285";9;"Femenino";"Público";"Primaria";"Miércoles";5;0
"2286";16;"Femenino";"Público";"Secundaria o Media";"Miércoles";6;0
"2287";7;"Masculino";"Público";"Primaria";"Miércoles";2;0
"2288";8;"Masculino";"Privado";"Primaria";"Lunes";2;0
"2289";15;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2290";12;"Masculino";"Público";"Primaria";"Miércoles";2;0
"2291";8;"Femenino";"Público";"Primaria";"Domingo";3;0
"2292";10;"Masculino";"Público";"Secundaria o Media";"Lunes";1;0
"2293";14;"Femenino";"Privado";"Secundaria o Media";"Lunes";4;0
"2294";8;"Masculino";"Privado";"Primaria";"Lunes";3;0
"2295";10;"Femenino";"Público";"Primaria";"Martes";1;0
"2296";13;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"2297";14;"Femenino";"Privado";"Secundaria o Media";"Jueves";7;0
"2298";13;"Masculino";"Privado";"Secundaria o Media";"Viernes";1;0
"2299";12;"Masculino";"Privado";"Secundaria o Media";"Domingo";2;15
"2300";15;"Masculino";"Público";"Secundaria o Media";"Lunes";0;30
"2301";23;"Femenino";"Público";"Universitario";"Jueves";4;0
"2302";5;"Femenino";"Público";"Primaria";"Jueves";1;0
"2303";31;"Femenino";"Público";"Universitario";"Martes";5;0
"2304";11;"Masculino";"Público";"Secundaria o Media";"Martes";4;0
"2305";25;"Femenino";"Público";"Universitario";"Martes";2;0
"2306";17;"Femenino";"Privado";"Técnico";"Martes";1;30
"2307";16;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"2308";20;"Masculino";"Público";"Universitario";"Miércoles";2;0
"2309";30;"Femenino";"Público";"Universitario";"Jueves";6;0
"2310";7;"Femenino";"Público";"Primaria";"Jueves";0;30
"2311";9;"Femenino";"Público";"Primaria";"Lunes";2;0
"2312";13;"Femenino";"Público";"Primaria";"Jueves";1;0
"2313";8;"Femenino";"Público";"Primaria";"Jueves";1;0
"2314";14;"Masculino";"Público";"Secundaria o Media";"Viernes";2;0
"2315";12;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"2316";12;"Femenino";"Público";"Primaria";"Sábado";0;15
"2317";10;"Femenino";"Público";"Primaria";"Sábado";0;30
"2318";8;"Masculino";"Público";"Preescolar";"Sábado";0;30
"2319";6;"Femenino";"Público";"Preescolar";"Sábado";0;30
"2320";10;"Femenino";"Público";"Primaria";"Sábado";2;0
"2321";5;"Masculino";"Público";"Preescolar";"Lunes";3;0
"2322";6;"Masculino";"Público";"Primaria";"Lunes";4;0
"2323";17;"Femenino";"Público";"Secundaria o Media";"Martes";4;0
"2324";11;"Masculino";"Privado";"Secundaria o Media";"Martes";3;0
"2325";13;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2326";11;"Femenino";"Público";"Primaria";"Miércoles";3;0
"2327";9;"Femenino";"Público";"Primaria";"Miércoles";2;0
"2328";20;"Femenino";"Privado";"Universitario";"Jueves";4;0
"2329";18;"Masculino";"Privado";"Secundaria o Media";"Jueves";3;0
"2330";14;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"2331";9;"Femenino";"Público";"Primaria";"Viernes";2;0
"2332";7;"Femenino";"Público";"Primaria";"Viernes";2;0
"2333";18;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2334";7;"Femenino";"Público";"Primaria";"Martes";4;0
"2335";7;"Femenino";"Público";"Primaria";"Viernes";2;0
"2336";6;"Masculino";"Público";"Primaria";"Viernes";2;0
"2337";18;"Masculino";"Privado";"Universitario";"Lunes";3;0
"2338";10;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"2339";7;"Masculino";"Privado";"Primaria";"Lunes";3;0
"2340";9;"Femenino";"Público";"Primaria";"Lunes";3;0
"2341";7;"Femenino";"Público";"Primaria";"Lunes";2;0
"2342";22;"Femenino";"Privado";"Universitario";"Viernes";4;0
"2343";15;"Femenino";"Público";"Secundaria o Media";"Viernes";5;0
"2344";12;"Femenino";"Privado";"Secundaria o Media";"Viernes";3;0
"2345";8;"Femenino";"Público";"Primaria";"Sábado";2;0
"2346";13;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"2347";15;"Femenino";"Público";"Secundaria o Media";"Martes";2;0
"2348";13;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"2349";6;"Masculino";"Público";"Primaria";"Miércoles";0;30
"2350";10;"Masculino";"Público";"Secundaria o Media";"Jueves";3;0
"2351";5;"Masculino";"Público";"Preescolar";"Viernes";1;0
"2352";12;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"2353";8;"Masculino";"Público";"Primaria";"Jueves";1;0
"2354";9;"Masculino";"Público";"Primaria";"Jueves";1;0
"2355";6;"Masculino";"Público";"Preescolar";"Martes";2;0
"2356";11;"Femenino";"Público";"Secundaria o Media";"Martes";3;0
"2357";7;"Masculino";"Público";"Primaria";"Martes";2;0
"2358";11;"Femenino";"Público";"Primaria";"Jueves";3;0
"2359";5;"Femenino";"Público";"Primaria";"Jueves";1;0
"2360";7;"Femenino";"Público";"Primaria";"Domingo";3;0
"2361";11;"Masculino";"Público";"Primaria";"Sábado";2;0
"2362";12;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"2363";7;"Masculino";"Público";"Primaria";"Sábado";3;0
"2364";8;"Masculino";"Público";"Primaria";"Sábado";2;0
"2365";9;"Femenino";"Privado";"Primaria";"Viernes";2;0
"2366";8;"Masculino";"Privado";"Primaria";"Domingo";4;0
"2367";14;"Masculino";"Público";"Secundaria o Media";"Domingo";2;0
"2368";8;"Masculino";"Privado";"Primaria";"Lunes";4;0
"2369";31;"Femenino";"Privado";"Especialización";"Domingo";6;0
"2370";16;"Femenino";"Privado";"Secundaria o Media";"Domingo";4;0
"2371";5;"Masculino";"Privado";"Preescolar";"Domingo";2;0
"2372";27;"Masculino";"Público";"Universitario";"Domingo";4;0
"2373";18;"Masculino";"Público";"Universitario";"Domingo";5;0
"2374";10;"Femenino";"Privado";"Primaria";"Miércoles";3;0
"2375";15;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"2376";14;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"2377";14;"Femenino";"Público";"Secundaria o Media";"Jueves";0;30
"2378";8;"Masculino";"Público";"Primaria";"Sábado";1;0
"2379";5;"Masculino";"Público";"Preescolar";"Sábado";0;40
"2380";13;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"2381";17;"Masculino";"Privado";"Universitario";"Domingo";5;0
"2382";23;"Masculino";"Público";"Universitario";"Lunes";2;0
"2383";16;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"2384";36;"Masculino";"Privado";"Universitario";"Lunes";2;0
"2385";17;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"2386";16;"Masculino";"Público";"Secundaria o Media";"Domingo";4;0
"2387";34;"Femenino";"Privado";"Maestría";"Miércoles";1;0
"2388";12;"Masculino";"Público";"Secundaria o Media";"Miércoles";1;0
"2389";8;"Masculino";"Público";"Primaria";"Miércoles";1;0
"2390";6;"Femenino";"Público";"Preescolar";"Miércoles";1;0
"2391";9;"Femenino";"Público";"Primaria";"Martes";4;0
"2392";11;"Masculino";"Público";"Primaria";"Lunes";3;0
"2393";13;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"2394";7;"Femenino";"Privado";"Primaria";"Lunes";3;0
"2395";5;"Masculino";"Privado";"Preescolar";"Lunes";2;0
"2396";17;"Femenino";"Público";"Tecnológico";"Lunes";4;0
"2397";15;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2398";14;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"2399";11;"Femenino";"Público";"Secundaria o Media";"Miércoles";0;30
"2400";18;"Masculino";"Privado";"Universitario";"Lunes";8;0
"2401";9;"Masculino";"Público";"Primaria";"Viernes";2;0
"2402";7;"Masculino";"Público";"Primaria";"Viernes";2;0
"2403";17;"Masculino";"Público";"Universitario";"Viernes";2;0
"2404";12;"Masculino";"Público";"Secundaria o Media";"Lunes";0;30
"2405";16;"Femenino";"Público";"Universitario";"Sábado";6;0
"2406";15;"Masculino";"Público";"Secundaria o Media";"Sábado";3;0
"2407";8;"Femenino";"Público";"Primaria";"Miércoles";1;0
"2408";18;"Masculino";"Público";"Secundaria o Media";"Lunes";2;0
"2409";13;"Masculino";"Público";"Secundaria o Media";"Jueves";0;30
"2410";12;"Femenino";"Público";"Secundaria o Media";"Jueves";0;30
"2411";8;"Masculino";"Público";"Primaria";"Viernes";0;30
"2412";7;"Femenino";"Público";"Primaria";"Viernes";0;30
"2413";13;"Femenino";"Público";"Secundaria o Media";"Domingo";2;0
"2414";17;"Masculino";"Público";"Secundaria o Media";"Sábado";1;0
"2415";12;"Femenino";"Privado";"Secundaria o Media";"Lunes";4;0
"2416";11;"Femenino";"Privado";"Primaria";"Lunes";4;0
"2417";16;"Femenino";"Público";"Secundaria o Media";"Miércoles";1;0
"2418";24;"Masculino";"Privado";"Universitario";"Martes";1;0
"2419";10;"Femenino";"Público";"Primaria";"Martes";1;0
"2420";13;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"2421";5;"Masculino";"Privado";"Preescolar";"Miércoles";1;0
"2422";13;"Femenino";"Público";"Secundaria o Media";"Miércoles";0;30
